DESCRICAO;LABEL
ENTRADA NOTA FISCAL;NOTA_ENTRADA
ERRO AO TENTAR CONFIRMAR NOTA FISCAL DE ENTRADA;NOTA_ENTRADA
TROCAR REMETENTE DE NOTAS DE ENTRADA;NOTA_ENTRADA
NOTAS FISCAIS DE ENTRADA RECEBIMENTO FATU3;NOTA_ENTRADA
FATU3 INFORMACAO CIDADE ORIGEM ESTA BUSCANDO DO ESTABELICIMENTO EMISSOR;NOTA_ENTRADA
NF DE ENTRADA NAO EMITE;NOTA_ENTRADA
FATU3 ENTRADA DE CTE;NOTA_ENTRADA
RECEBIMENTO NF FATU3;NOTA_ENTRADA
CENTRO DE CUSTO NF ENTRADA;NOTA_ENTRADA
NF ENTRADA;NOTA_ENTRADA
NOTAS FISCAIS DE ENTRADA RECEBIMENTO FATU3;NOTA_ENTRADA
FATU3 VALIDACAO DOS CENTRO DE CUSTOS AO LANCAR NFE;NOTA_ENTRADA
FATU3 AO RECONFIRMAR NFE QUE ESTAVA CONFIRMADA A MESMA ESTA SENDO ALTERADA PARA A DATA DO DIA ATUAL;NOTA_ENTRADA
NF DE ENTRADA;NOTA_ENTRADA
EMISSAO NFE;NOTA_ENTRADA
ERRO AO CONFIRMAR ENTRADA DA NOTA FISCAL DE ENTRADA;NOTA_ENTRADA
CALCULO DIFAL DAS NOTAS DE ENTRADA NOS ESTAB COM UF SP;NOTA_ENTRADA
ENTRA NFE;NOTA_ENTRADA
TORNAR OBRIGATORIO INFORMAR O CAMPO TRANSPORTADORA NAS NOTAS FISCAIS DE ENTRADA FATU3;NOTA_ENTRADA
EMISSAO NFE;NOTA_ENTRADA
LIBERAR NFE;NOTA_ENTRADA
ENTRADA DE NF;NOTA_ENTRADA
FATU3;NOTA_ENTRADA
EXCLUSAO NAO PERMITIDA NOTA FISCAL DE ENTRADA;NOTA_ENTRADA
ENTRADA EM NFE DE RETORNO;NOTA_ENTRADA
TROCAR FINALIDADE NFE;NOTA_ENTRADA
ERRO AO DAR ENTRADA NAS NOTAS;NOTA_ENTRADA
ERRO NF ENTRADA;NOTA_ENTRADA
ERRO QUANTIDADE COM A QUANTIDADE RESERVA;RESERVA
APONTAMENTO DE OF COM CONTROLE DE LOTE RESERVAR SOMENTE O NECESSARIO PARA O PLANO;RESERVA
ERRO EMISSAO NOTA FISCAL DE ENTRADA NAO DEIXA OS PARES NO RESERVADO;RESERVA
ERRO LISTA PEDIDOS FATURADOS ANTIGOS NA CONSULTA DE RESERVADOS;RESERVA
ERRO ROTULO GERADO PELO PICKING PERDEU VINCULO RESERVA COM O PEDIDO;RESERVA
ERRO ESTOQUE INSERTOS PRODUZIDOS E QUE NAO APARECEM NO RESERVADO;RESERVA
ERRO RESERVOU PARA PLANO DE PRODUCAO PARES QUE DEVIAM ESTAR RESERVADOS A PEDIDO DE CONSIGNACAO;RESERVA
ERRO AO RESERVAR PRODUTOS NOS PEDIDOS;RESERVA
ERRO LANCAMENTO DEVOLUCAO NOTA FISCAL ENTRADA AVULSOS FICAM RESERVADOS INDEVIDAMENTE;RESERVA
ERRO PEDIDOS DIGITADOS NO KUNDEN DE AVULSOS NAO APARECE RESERVADO;RESERVA
O SISTEMA NAO ESTA PERMITINDO DESVINCULAR DOIS ROTULOS DO PEDIDO RESERVADO;RESERVA
VERIFICAR MOTIVO DE ERRO AO TENTAR RETIRAR RESERVA DO ROTULO;RESERVA
COSTELA RESERVADA;RESERVA
ERRO AO TENTAR RETIRAR A RESERVA;RESERVA
PRODUTO EM RESERVA SEM PEDIDO OU ROTULO VINCULADO;RESERVA
RESERVA DE PRODUTO SEM PEDIDO;RESERVA
REF EM RESERVA;RESERVA
REF EM RESERVA SEM PED ROTULO;RESERVA
ESTOQUE EM RESERVA SEM VINCULO DE PEDIDO ROTULO;RESERVA
RESERVA DE ESTOQUE FILIAL;RESERVA
QUANTIDADE RESERVADA;RESERVA
PRODUTO RESERVADO EM ESTOQUE MAS JA FOI FATURADO DEVERIA SAIR DO ESTOQUE ESTA ANEXADO A UMA NF;RESERVA
RESERVADA DE PRODUTO SEM PEDIDO;RESERVA
REF RESERVADO SEM PED ROTULO;RESERVA
PRODUTO RESERVADO SEM VINCULO DE PEDIDO OU RESERVA;RESERVA
PEDIDO SEM RESERVA DE ESTOQUE ROTULO NO DISPONIVEL;RESERVA
ESTOQUE RESERVADO NEGATIVO;RESERVA
ERRO LANCAMENTO DEVOLUCAO NOTA FISCAL ENTRADA AVULSOS FICAM RESERVADOS INDEVIDAMENTE;RESERVA
SALDO DE ESTOQUE EM RESERVA APOS A NOTA SER RECEBIDA;RESERVA
PEDIDO SEM RESERVA DE ESTOQUE;RESERVA
RETIRAR RESERVAS DO ROTULOS;RESERVA
ESTOQUE NO RESERVADO E NAO NO DISPONIVEL;RESERVA
DESAPONTAR ROLOS RESERVADOS;RESERVA
RESERVA ESTOQUE PE RESERVA DE ESTOQUE PE ESTA DUPLICANDO A QUANTIDADE TOTAL;RESERVA
DIVERGENCIA NO RESERVADO DO PRODUTO CODIGO 4 271878;RESERVA
ROTULO FATURADO CONSTANDO NO RESERVADO;RESERVA
ESTOQUE RESERVADO NEGATIVO;RESERVA
ITEM COM DIVERGENCIA NO ESTOQUE RESERVADO;RESERVA
PRODUTOS ESTAO NA LOCALIZACAO DO VAREJO EM RESERVADO;RESERVA
LOTES RESERVADOS;RESERVA
RESERVA DE PEDIDO A PRODUZIR;RESERVA
TRANSFERENCIA ENTRE LOCALIZACAO PRODUTO PRONTO DISPONIVEL CAIU RESERVADO;RESERVA
PROGRAMA NOTA FISCAL DE SAIDA FATU2 TRATAR RETORNO AO ESTOQUE RESERVADO APOS OCORRER UMA EXCLUSAO DE NF DE SAIDA;RESERVA
RESERVA COM DIVERGENCIA;RESERVA
FATURAMENTO NAO ZERA AS QUANTIDADES RESERVADAS;RESERVA
PRODUTOS EM RESERVADO;RESERVA
ERRO NO ATO DE DESRESERVAR;RESERVA
ERRO RESERVA DE SALDO;RESERVA
DIVERGENCIA ESTOQUE RESERVADO RECORTE;RESERVA
DIVERGENCIA NAS INFORMACOES DAS QUANTIDADES RESERVADAS;RESERVA
QUANTIDADE INSUFICIENTE RESERVADA;RESERVA
SALDO INSUFICIENTE RESERVADO;RESERVA
ERRO PEDIDO COM NOTA FATURAMENTO E ROTULOS CONTINUAM RESERVADOS INDEVIDAMENTE;RESERVA
SALDO INSUFICIENTE RESERVADO;RESERVA
QUANTIDADE RESERVADA INSUFICIENTE;RESERVA
ERRO NO ATO DE RESERVAR PEDIDOS;RESERVA
PRODUTO COM ESTOQUE NEGATIVO NO RESERVADO;RESERVA
AJUSTAR PRODUTOS RESERVADOS PARA DISPONIVEL;RESERVA
PEDIDOS E RESERVA PARA PEDIDOS;RESERVA
FATURAMENTO RESERVA;RESERVA
ERRO DE RESERVA;RESERVA
AJUSTAR SALDO AVULSOS RESERVADO ERRO AO LANCAR DEVOLUCAO;RESERVA
ERRO PEDIDO 196 86397 COM ERRO AO RESERVAR ROTULO PARA PEDIDO;RESERVA
ERRO SALDO RESERVADO DO ESTOQUE ESTA ABAIXO PARA EFETUAR ENTREGA;RESERVA
ROTULOS NO DISPONIVEL EM VEZ DE ESTAR NO RESERVADO;RESERVA
ERRO AO FAZER TRANSFERENCIA ENTRE LOCALIZACAO RESERVADO;RESERVA
ERRO INSUFICIENCIA DE SALDO AO EFETUAR TRANSFERENCIA ENTRE LOCALIZACAO RESERVADO;RESERVA
ERRO CAIXAS LOTE DE PRODUCAO RESERVADAS INDEVIDAMENTE;RESERVA
ERRO PEDIDO 10080 26037 3834 PERDEU RESERVA DO ROTULO 11601660;RESERVA
RESERVA SEM VINCULO DE CLIENTE;RESERVA
DIVERGENCIA NO RESERVADO DO PRODUTO COD 9 132514;RESERVA
AJUSTE SALDO PRODUTOS COM SUJEIRA NO SALDO RESERVADO;RESERVA
ERRO PEDIDOS FATURADOS CONTINUAM COM ROTULOS RESERVADOS;RESERVA
AJUSTE SALDO PRODUTOS CAIU COMO RESERVADO NO AO EFETUAR O LANCAMENTO;RESERVA
LOTE RESERVADO SEM PEDIDO;RESERVA
RESERVA DIVERGENTE;RESERVA
ERRO DE RESERVA POREM PEDIDO FOI FATURADO;RESERVA
PEDIDOS SEM VINCULO COM RESERVA DE ROTULOS;RESERVA
APONTAMENTO DE ROTULO NAO RESERVANDO;RESERVA
ERRO LIBERACAO PRODUTOS RESERVADOS;RESERVA
PRODUTO RESERVADO COM SALDO NEGATIVO;RESERVA
LOTE NO RESERVADO COM ENTREGA CANCELADA;RESERVA
SALDO RESERVADO EM LOCALIZACOES DO VAREJO;RESERVA
ERRO PEDIDOS SEM VINCULO DE RESERVA;RESERVA
AJUSTE PRODUTOS AVULSOS RESERVADOS SEM VINCULO COM PEDIDO;RESERVA
RESERVA SEM VINCULO DE PEDIDO;RESERVA
ERRO AO ESTORNAR A QUANTIDADE APONTADA RESERVADA;RESERVA
ITENS EM RESERVA;RESERVA
ERRO ESTOQUE NA TRANSFERENCIA DE ROTULOS ENTRE LOCALIZACAO DO RESERVADO;RESERVA
RESERVADO BAIXA ESTOQUE SEMIACABDO;RESERVA
ERRO AO FATURAR E DESFAZER A RESERVA;RESERVA
ERRO DE RESERVA;RESERVA
REMOCAO DE RESERVA DE LOTE;RESERVA
RESERVA INDEVIDA NO PROD 7821 FILIAL 3;RESERVA
QUANTIDADE RESERVADA POR CLIENTE;RESERVA
ABASTECIMENTO NAO ESTA BAIXANDO DO RESERVADO;RESERVA
CONSUMO DO RESERVADO DE OUTRO PLANO DE PRODUCAO;RESERVA
APONTAMENTO DE SEMIACABADO NAO ENTRANDO NO RESERVADO;RESERVA
RETIRAR RESERVA DO ROTULO 13434400001;RESERVA
ERRO AO RESERVA;RESERVA
PREPARAR ESOCIAL PARA VERSAO 1 1;ESOCIAL
ERRO ENVIO S2299;ESOCIAL
ESOCIAL;ESOCIAL
ESOCIAL FECHAMENTO S1299;ESOCIAL
ENVIO S1210 RESCISAO ESOCIAL;ESOCIAL
ENVIO S1005;ESOCIAL
ENVIO S1200;ESOCIAL
ENVIO S1200 13O SALARIO ADVERTENCIA NOS ENVIO;ESOCIAL
EVENTO DE RESCISAO S1210;ESOCIAL
ERRO AO ENVIAR O EVENTO S1210;ESOCIAL
S1210 ERRO NO ENVIO POR CADASTRO CPF DEPENDENTES;ESOCIAL
S1210;ESOCIAL
S1202;ESOCIAL
S1200;ESOCIAL
S1005;ESOCIAL
RETIFICACAO EVENTO S2200;ESOCIAL
EVENTO S2205;ESOCIAL
ENVIO S2206 POR REAJUSTE SALARIAL;ESOCIAL
S2206;ESOCIAL
S2210;ESOCIAL
EVENTO S2221 EXAMES TOXICOLOGICO DO MOTORISTA PROFISSIONAL EMPREGADO;ESOCIAL
S2230 RETORNO AO TRABALHO AFASTAMENTO POR DOENCA;ESOCIAL
S2240;ESOCIAL
S2240 ESOCIAL;ESOCIAL
S2298 ESOCIAL;ESOCIAL
S2300 ESOCIAL;ESOCIAL
S2399;ESOCIAL
EVENTO S2240;ESOCIAL
FECHAMENTO ESOCIAL;ESOCIAL
GERENCIADOR ESOCIAL;ESOCIAL
ERRO NO MONITOR ESOCIAL;ESOCIAL
PLANO E SAUDE NO ESOCIAL;ESOCIAL
ESOCIAL 1210;ESOCIAL
ESOCIAL NAO ENVIA EVENTOS;ESOCIAL
ENVIO S1200 NO ESOCIAL;ESOCIAL
S1200 ENVIO FUNCIONARIO COM CENTRO DE CUSTO LOTACAO ALTERADOS;ESOCIAL
ENVIO S1210;ESOCIAL
S1070;ESOCIAL
S1000;ESOCIAL
S1299;ESOCIAL
ENVIO S2200 ADMISSOES;ESOCIAL
S2200;ESOCIAL
S2205;ESOCIAL
S2206 REAJUSTE SALARIAL;ESOCIAL
S2298;ESOCIAL
EVENTO DESLIGAMENTO S2299;ESOCIAL
S2399 ESOCIAL;ESOCIAL
S2501;ESOCIAL
S3000;ESOCIAL
S3500;ESOCIAL
S5001;ESOCIAL
S5001 ESOCIAL;ESOCIAL
S5002;ESOCIAL
S5011 ESOCIAL;ESOCIAL
INCLUSAO NOVO DEPENDENTE ESOCIAL;ESOCIAL
S1210;ESOCIAL
FOLHA MENSAL ESOCIAL;ESOCIAL
GERENCIADOR ESOCIAL TRAVADO;ESOCIAL
EVENTO S1200 ESOCIAL;ESOCIAL
ESOCIAL 1210;ESOCIAL
VALOR INCORRETO DE PENSAO ALIMENTICIA NO EVENTO S 1210 DO ESOCIAL;ESOCIAL
ERRO ESOCIAL;ESOCIAL
ENVIO ESOCIAL;ESOCIAL
GERENCIADOR ESOCIAL TRAVADO;ESOCIAL
CODIGO DESLIGAMENTO ESOCIAL CADASTRO;ESOCIAL
ERRO ENVIO S1200;ESOCIAL
ERRO ENVIO S1200 FUNCIONARIO 11586;ESOCIAL
EVENTO S1210;ESOCIAL
ENVIO S1210 RESCISAO ESOCIAL;ESOCIAL
ENVIO S1210 RESCISAO;ESOCIAL
S1020;ESOCIAL
S1010;ESOCIAL
S1270;ESOCIAL
S1280;ESOCIAL
S1280 ESOCIAL;ESOCIAL
S1298;ESOCIAL
FECHAMENTO EVENTOS PERIODICOS S1299;ESOCIAL
S2190;ESOCIAL
S2190 ESOCIAL;ESOCIAL
ENVIO S2200 ESOCIAL VINCULO INICIAL TRABALHADOR;ESOCIAL
S2210 ESOCIAL;ESOCIAL
S2220;ESOCIAL
S2220 ESOCIAL;ESOCIAL
S2221;ESOCIAL
RETORNO DE REGISTRO ESOCIAL S2230;ESOCIAL
S2230;ESOCIAL
S2299;ESOCIAL
S2299 ESOCIAL;ESOCIAL
S2300;ESOCIAL
S2306;ESOCIAL
S2306 ESOCIAL;ESOCIAL
AJUSTE ENVIO S2500;ESOCIAL
S2500;ESOCIAL
RECLAMATORIA TRABALHISTA S2501;ESOCIAL
S3000 ESOCIAL;ESOCIAL
S3500 ESOCIAL;ESOCIAL
S5002 ESOCIAL;ESOCIAL
S5011;ESOCIAL
PROCESSO TRABALHISTA O 2500 AO ESOCIAL;ESOCIAL
ESOCIAL PROCESSO TRABALHISTA;ESOCIAL
